name,state,id,pop_2020
Muscogee County,Georgia,fadecbc1,196442
Newton County,Georgia,4a013c94,113295
Oconee County,Georgia,a662958c,41124
Oglethorpe County,Georgia,342e193f,15383
Paulding County,Georgia,7b0f4d95,173359
Peach County,Georgia,2f1563e1,27950
Pickens County,Georgia,6a22c698,33127
Pierce County,Georgia,23dc67a1,19522
Pike County,Georgia,75908541,19121
Polk County,Georgia,fbfe8a0a,42840
Pulaski County,Georgia,b7ce8f48,11191
Putnam County,Georgia,fc25525c,22520
Quitman County,Georgia,da236de3,2271
Rabun County,Georgia,cbd3b57b,17273
Randolph County,Georgia,993c1050,6682
Richmond County,Georgia,1bdfbddb,202079
Rockdale County,Georgia,e1184179,90939
Schley County,Georgia,f6c5cca3,5196
Screven County,Georgia,5b6db9ce,14012
Seminole County,Georgia,3b0b218f,8060
Spalding County,Georgia,1a234682,67414
Stephens County,Georgia,467cbf7a,26107
Stewart County,Georgia,33a10b30,6689
Sumter County,Georgia,f21b7d97,29282
Talbot County,Georgia,05a28487,6143
Taliaferro County,Georgia,fa3c4401,1562
Tattnall County,Georgia,5860e23a,25365
Taylor County,Georgia,e755aec6,8074
Telfair County,Georgia,06e24747,15781
Terrell County,Georgia,ae5126b9,8523
Thomas County,Georgia,5106c3e1,44372
Tift County,Georgia,d3ff46c8,40719
Toombs County,Georgia,b5c0ef75,26973
Towns County,Georgia,fc96e929,12247
Treutlen County,Georgia,bbaabf43,6822
Troup County,Georgia,96e9b2f9,70214
Turner County,Georgia,9000e046,7882
Twiggs County,Georgia,d87c10fd,8103
Union County,Georgia,b326986b,25358
Upson County,Georgia,3cae5bc9,26527
Walker County,Georgia,153489f9,70116
Walton County,Georgia,e9b1d595,96875
Ware County,Georgia,426e8818,35826
Warren County,Georgia,a74e22bb,5232
Washington County,Georgia,5e9a6658,20150
Wayne County,Georgia,96b3a373,30023
Webster County,Georgia,c102dfdd,2595
Wheeler County,Georgia,2692f5fa,7751
White County,Georgia,fccb97b2,31094
Whitfield County,Georgia,0430e5b1,103837
Wilcox County,Georgia,e165f86c,8502
