,name,state,id,pop_2020
23475,Paris township,North Dakota,736c4e15,23
23524,Pomona View township,North Dakota,961433d7,23
23549,Prosperity township,North Dakota,cf78189c,23
23560,Rat Lake township,North Dakota,c8c646a1,23
23634,Rugh township,North Dakota,88640bef,23
23682,Sheets township,North Dakota,507601d1,23
23913,Walker township,North Dakota,675f629e,23
23933,Wayzetta township,North Dakota,a0e696bf,23
24003,Wolf Butte township,North Dakota,d49b4c44,23
8599,Allison township,Kansas,32a3ac78,24
8934,Cora township,Kansas,fa884e80,24
8958,Custer township (Decatur County),Kansas,21ccc84c,24
9834,Oak Hill city,Kansas,a10b7c3d,24
10091,Russell Springs city,Kansas,8dd67092,24
10306,Towanda township (Phillips County),Kansas,a09a8b31,24
10312,Turkey Creek township (Barber County),Kansas,726f376e,24
10435,Webber city,Kansas,cbd7dacc,24
22296,Adelaide township,North Dakota,f392a087,24
22309,Alexander township,North Dakota,c107737e,24
22396,Beaver township,North Dakota,5444d9c7,24
22404,Bentinck township,North Dakota,9b1098a5,24
22447,Bonetraill township,North Dakota,362b193b,24
22487,Bucyrus city,North Dakota,ebeb8edb,24
22564,Chestina township,North Dakota,1a5a4428,24
22624,Crowfoot township,North Dakota,0f780bf5,24
22631,Cusator township,North Dakota,5c799634,24
22640,Dash township,North Dakota,1408cb88,24
22705,East Golden Valley UT,North Dakota,6e37857a,24
22766,Enterprise township,North Dakota,9cde9a00,24
22814,Foothills township,North Dakota,eeef2482,24
22951,Haag township,North Dakota,c13fa7e2,24
22999,Haynes city,North Dakota,07a8ce4b,24
23011,Hemen township,North Dakota,f085c2a6,24
23041,Hope township (Cavalier County),North Dakota,f1e78743,24
23066,Iowa township,North Dakota,47416139,24
23115,Knox city,North Dakota,88e1c4f4,24
23130,Lake Washington township,North Dakota,6fc4a3b9,24
23158,Leaf Mountain township,North Dakota,21e1f43a,24
23181,Lillehoff township,North Dakota,67f38c4b,24
23220,Ludden city,North Dakota,1f5efdae,24
23288,Melvin township,North Dakota,a5940ab0,24
23308,Minnehaha township,North Dakota,21949bc6,24
23329,Moord township,North Dakota,57ae2247,24
23352,Myrtle township,North Dakota,721e7cb3,24
23362,Nekoma township,North Dakota,6785cc69,24
23530,Portal township,North Dakota,70a714b8,24
23578,Rhame township,North Dakota,b4b8c9b6,24
23631,Royal township,North Dakota,c4c47a2c,24
23714,Solon township,North Dakota,d92890bf,24
23878,Valley township (Kidder County),North Dakota,f638a09d,24
23892,Victor township,North Dakota,82159de4,24
23914,Wallace township,North Dakota,d2d2265b,24
30278,Devoe township,South Dakota,0434228d,24
30440,Grandview UT (Brule County),South Dakota,ac57efe6,24
30641,Liberty township (Edmunds County),South Dakota,d691d0a4,24
30659,Logan township (Hand County),South Dakota,7e0eae7f,24
30742,Mosher township,South Dakota,36f2364c,24
30795,Oak Gulch township,South Dakota,283bfb57,24
30996,Shyne township,South Dakota,693ced59,24
15695,Moose River township,Minnesota,8ddff99a,25
16230,Shotley Brook UT,Minnesota,3ab0b04f,25
22289,Acme township,North Dakota,37a38710,25
22311,Alexanter township,North Dakota,06af0f90,25
22322,Ambrose city,North Dakota,3f22e3b9,25
22411,Berlin township (Wells County),North Dakota,bce43887,25
22435,Blaine township,North Dakota,7f98661a,25
